state,county,tract,block group,NAME,Unemployed,Income,WhiteRace,BlackRace,IndianAlaskanRace,AsianRace,Population,MaleGender,FemaleGender,HighSchoolEducation,College_Less_1yrEducation,College_More_1YREducation,AssociateDegreeEducation,BachelorDegreeEducation,MasterDegreeEducation,ProfessionalDegreeEducation,DoctorateDegreeEducation
42,045,401200,3,"Block Group 3, Census Tract 4012, Delaware County, Pennsylvania",43,266,564,166,0,0,753,342,411,172,54,76,21,128,53,0,0
42,045,401200,4,"Block Group 4, Census Tract 4012, Delaware County, Pennsylvania",11,300,840,13,0,205,1058,542,516,287,37,84,45,277,18,7,0
42,045,402000,2,"Block Group 2, Census Tract 4020, Delaware County, Pennsylvania",9,572,661,625,0,434,1774,921,853,454,22,122,66,342,77,15,25
42,045,402000,1,"Block Group 1, Census Tract 4020, Delaware County, Pennsylvania",16,382,294,352,11,0,686,202,484,38,51,77,66,158,139,6,0
42,045,403800,1,"Block Group 1, Census Tract 4038, Delaware County, Pennsylvania",121,625,1381,32,0,11,1529,663,866,499,134,57,26,137,64,61,0
42,045,403800,6,"Block Group 6, Census Tract 4038, Delaware County, Pennsylvania",14,277,792,0,0,31,845,380,465,388,17,16,63,121,27,0,0
42,045,402100,2,"Block Group 2, Census Tract 4021, Delaware County, Pennsylvania",90,491,137,1562,0,0,1788,800,988,344,135,117,118,191,175,0,8
42,045,402100,4,"Block Group 4, Census Tract 4021, Delaware County, Pennsylvania",52,528,149,1148,0,8,1374,574,800,257,198,114,77,140,50,42,0
42,045,402300,1,"Block Group 1, Census Tract 4023, Delaware County, Pennsylvania",139,313,58,969,0,0,1027,467,560,280,13,100,84,121,65,0,18
42,045,402300,2,"Block Group 2, Census Tract 4023, Delaware County, Pennsylvania",20,113,25,386,12,0,468,200,268,69,30,26,49,49,41,0,6
42,045,405000,2,"Block Group 2, Census Tract 4050, Delaware County, Pennsylvania",5,160,73,761,0,0,840,387,453,295,42,89,33,54,12,0,0
42,045,404103,1,"Block Group 1, Census Tract 4041.03, Delaware County, Pennsylvania",7,455,1376,49,0,24,1528,806,722,400,97,95,100,105,90,0,0
42,045,404103,2,"Block Group 2, Census Tract 4041.03, Delaware County, Pennsylvania",83,588,1978,9,0,27,2014,1009,1005,696,92,230,37,185,0,8,3
42,045,405000,3,"Block Group 3, Census Tract 4050, Delaware County, Pennsylvania",45,92,56,473,5,0,631,240,391,139,35,39,14,29,7,0,0
42,045,400900,1,"Block Group 1, Census Tract 4009, Delaware County, Pennsylvania",48,435,1211,224,0,113,1562,746,816,218,28,127,43,410,195,85,23
42,045,403101,3,"Block Group 3, Census Tract 4031.01, Delaware County, Pennsylvania",13,318,537,348,0,57,1024,472,552,235,66,60,127,76,13,0,0
42,045,403101,2,"Block Group 2, Census Tract 4031.01, Delaware County, Pennsylvania",68,483,885,504,0,0,1446,729,717,193,154,247,49,80,122,20,0
42,045,403103,2,"Block Group 2, Census Tract 4031.03, Delaware County, Pennsylvania",72,275,393,327,0,9,885,420,465,213,18,68,38,120,46,0,0
42,045,407801,1,"Block Group 1, Census Tract 4078.01, Delaware County, Pennsylvania",9,263,902,50,2,25,979,395,584,283,29,99,50,238,127,24,9
42,045,407801,2,"Block Group 2, Census Tract 4078.01, Delaware County, Pennsylvania",32,272,1089,16,0,0,1105,560,545,162,23,79,124,250,93,21,21
42,045,407801,3,"Block Group 3, Census Tract 4078.01, Delaware County, Pennsylvania",29,257,748,110,0,12,891,514,377,232,30,116,28,117,82,7,8
42,045,407902,1,"Block Group 1, Census Tract 4079.02, Delaware County, Pennsylvania",61,746,1687,76,24,118,2012,990,1022,158,91,110,97,533,249,73,55
42,045,407903,1,"Block Group 1, Census Tract 4079.03, Delaware County, Pennsylvania",76,619,1125,200,0,254,1665,780,885,216,97,83,78,411,259,19,10
42,045,407903,2,"Block Group 2, Census Tract 4079.03, Delaware County, Pennsylvania",70,581,1384,263,0,183,1898,953,945,245,105,69,97,323,180,158,57
42,045,406202,2,"Block Group 2, Census Tract 4062.02, Delaware County, Pennsylvania",0,206,723,20,0,0,743,408,335,162,83,64,0,45,0,54,0
42,045,406202,1,"Block Group 1, Census Tract 4062.02, Delaware County, Pennsylvania",69,868,1828,40,0,75,1967,842,1125,472,207,127,220,228,113,53,16
42,045,406202,3,"Block Group 3, Census Tract 4062.02, Delaware County, Pennsylvania",40,533,1375,162,0,0,1607,772,835,242,86,191,65,312,137,0,11
42,045,406801,2,"Block Group 2, Census Tract 4068.01, Delaware County, Pennsylvania",58,488,1493,136,76,0,1718,858,860,347,68,167,184,203,103,25,21
42,045,406801,1,"Block Group 1, Census Tract 4068.01, Delaware County, Pennsylvania",52,362,1346,146,0,28,1562,707,855,318,54,176,84,208,110,10,0
42,045,406802,3,"Block Group 3, Census Tract 4068.02, Delaware County, Pennsylvania",102,243,903,2,0,0,941,535,406,161,102,63,31,83,15,0,0
42,045,406802,4,"Block Group 4, Census Tract 4068.02, Delaware County, Pennsylvania",0,247,1025,12,0,0,1062,413,649,403,60,28,24,63,15,0,0
42,045,406802,2,"Block Group 2, Census Tract 4068.02, Delaware County, Pennsylvania",28,319,719,378,0,0,1135,513,622,291,91,19,122,97,56,0,0
42,045,407600,4,"Block Group 4, Census Tract 4076, Delaware County, Pennsylvania",48,298,1036,183,63,7,1313,691,622,69,14,39,53,185,113,140,65
42,045,407600,5,"Block Group 5, Census Tract 4076, Delaware County, Pennsylvania",17,151,555,15,0,0,602,311,291,15,0,0,0,127,81,126,14
42,045,403602,2,"Block Group 2, Census Tract 4036.02, Delaware County, Pennsylvania",30,208,487,57,0,125,673,323,350,239,20,71,33,59,0,0,0
42,045,403602,1,"Block Group 1, Census Tract 4036.02, Delaware County, Pennsylvania",53,312,1011,0,0,59,1096,534,562,324,63,71,152,86,16,3,0
42,045,404101,4,"Block Group 4, Census Tract 4041.01, Delaware County, Pennsylvania",14,323,1153,112,0,0,1278,601,677,252,66,209,13,187,117,0,0
42,045,404101,3,"Block Group 3, Census Tract 4041.01, Delaware County, Pennsylvania",0,389,1073,0,0,0,1073,582,491,297,30,13,115,214,40,0,0
42,045,404101,1,"Block Group 1, Census Tract 4041.01, Delaware County, Pennsylvania",76,731,1821,391,0,0,2240,1157,1083,617,72,187,135,371,93,16,57
42,045,404101,2,"Block Group 2, Census Tract 4041.01, Delaware County, Pennsylvania",53,490,1628,16,0,62,1723,857,866,590,31,153,63,228,29,0,0
42,045,404600,2,"Block Group 2, Census Tract 4046, Delaware County, Pennsylvania",51,213,97,546,0,0,733,366,367,220,50,83,39,27,36,0,0
42,045,404600,1,"Block Group 1, Census Tract 4046, Delaware County, Pennsylvania",23,199,197,640,0,0,854,438,416,180,25,119,37,40,0,5,0
42,045,404600,3,"Block Group 3, Census Tract 4046, Delaware County, Pennsylvania",15,192,190,311,9,0,517,289,228,132,22,42,7,113,24,0,0
42,045,404700,2,"Block Group 2, Census Tract 4047, Delaware County, Pennsylvania",130,466,2084,666,0,131,2954,1646,1308,157,53,147,14,85,97,0,18
42,045,407901,3,"Block Group 3, Census Tract 4079.01, Delaware County, Pennsylvania",5,238,776,48,0,31,864,380,484,64,42,44,24,177,101,102,36
42,045,404700,1,"Block Group 1, Census Tract 4047, Delaware County, Pennsylvania",54,149,128,630,7,0,792,371,421,191,24,66,19,22,6,0,0
42,045,407201,1,"Block Group 1, Census Tract 4072.01, Delaware County, Pennsylvania",25,388,1425,24,0,166,1615,804,811,236,75,92,82,315,221,98,101
42,045,407201,3,"Block Group 3, Census Tract 4072.01, Delaware County, Pennsylvania",123,456,1780,0,0,0,1780,1121,659,58,86,129,83,522,182,69,32
42,045,407901,1,"Block Group 1, Census Tract 4079.01, Delaware County, Pennsylvania",20,255,879,0,0,42,988,492,496,65,8,84,56,210,116,66,27
42,045,408103,2,"Block Group 2, Census Tract 4081.03, Delaware County, Pennsylvania",40,618,1950,183,20,183,2345,1055,1290,482,54,231,218,194,200,45,40
42,045,409100,1,"Block Group 1, Census Tract 4091, Delaware County, Pennsylvania",66,253,945,23,0,21,1015,465,550,140,25,39,33,228,125,20,42
42,045,409100,2,"Block Group 2, Census Tract 4091, Delaware County, Pennsylvania",16,265,887,12,0,0,910,478,432,64,32,66,63,294,82,8,21
42,045,407803,2,"Block Group 2, Census Tract 4078.03, Delaware County, Pennsylvania",17,398,1148,0,0,53,1201,618,583,139,81,80,84,316,121,30,6
42,045,407803,3,"Block Group 3, Census Tract 4078.03, Delaware County, Pennsylvania",21,298,1048,0,0,31,1096,550,546,121,19,101,59,203,88,13,18
42,045,402800,4,"Block Group 4, Census Tract 4028, Delaware County, Pennsylvania",14,463,383,1012,0,0,1395,554,841,415,74,250,98,67,72,0,0
42,045,402800,3,"Block Group 3, Census Tract 4028, Delaware County, Pennsylvania",23,181,142,280,0,0,454,229,225,169,23,20,40,121,0,0,0
42,045,405400,2,"Block Group 2, Census Tract 4054, Delaware County, Pennsylvania",58,404,162,1183,0,0,1358,668,690,362,74,146,27,45,5,0,7
42,045,408700,1,"Block Group 1, Census Tract 4087, Delaware County, Pennsylvania",25,293,879,15,0,31,943,433,510,30,0,65,8,304,235,51,49
42,045,408700,2,"Block Group 2, Census Tract 4087, Delaware County, Pennsylvania",9,299,710,12,0,2,753,347,406,116,17,50,14,253,93,22,12
42,045,408700,4,"Block Group 4, Census Tract 4087, Delaware County, Pennsylvania",18,407,1295,46,0,21,1370,684,686,118,85,67,75,238,147,58,9
42,045,409903,1,"Block Group 1, Census Tract 4099.03, Delaware County, Pennsylvania",52,295,1112,10,0,54,1185,579,606,148,47,8,35,329,111,26,43
42,045,409903,3,"Block Group 3, Census Tract 4099.03, Delaware County, Pennsylvania",12,498,1602,10,0,76,1720,836,884,297,45,79,107,341,144,31,25
42,045,410301,4,"Block Group 4, Census Tract 4103.01, Delaware County, Pennsylvania",56,346,1018,0,0,62,1209,649,560,236,24,107,37,282,141,36,13
42,045,410301,3,"Block Group 3, Census Tract 4103.01, Delaware County, Pennsylvania",0,253,756,0,0,0,934,464,470,145,19,0,9,210,46,11,23
42,045,410301,5,"Block Group 5, Census Tract 4103.01, Delaware County, Pennsylvania",31,474,1438,21,0,188,1647,746,901,351,82,210,112,249,179,98,28
42,045,400302,2,"Block Group 2, Census Tract 4003.02, Delaware County, Pennsylvania",80,438,208,1434,0,0,1672,692,980,346,34,243,49,208,19,8,0
42,045,400302,3,"Block Group 3, Census Tract 4003.02, Delaware County, Pennsylvania",93,436,365,962,0,36,1387,608,779,352,52,125,97,93,29,14,0
42,045,401502,3,"Block Group 3, Census Tract 4015.02, Delaware County, Pennsylvania",19,418,689,264,0,115,1165,549,616,274,114,118,23,190,60,13,9
42,045,401502,1,"Block Group 1, Census Tract 4015.02, Delaware County, Pennsylvania",0,559,642,429,0,406,1558,707,851,285,10,141,108,317,73,10,0
42,045,402700,2,"Block Group 2, Census Tract 4027, Delaware County, Pennsylvania",54,259,146,689,0,0,852,293,559,159,40,111,30,118,34,0,0
42,045,404300,2,"Block Group 2, Census Tract 4043, Delaware County, Pennsylvania",31,303,761,332,0,67,1316,593,723,310,65,103,59,46,11,0,0
42,045,404300,1,"Block Group 1, Census Tract 4043, Delaware County, Pennsylvania",42,207,508,79,0,27,641,330,311,111,31,70,27,23,38,0,0
42,045,403200,3,"Block Group 3, Census Tract 4032, Delaware County, Pennsylvania",51,326,939,53,2,20,1037,509,528,349,36,86,67,163,23,0,0
42,045,403200,4,"Block Group 4, Census Tract 4032, Delaware County, Pennsylvania",170,280,554,455,0,0,1048,480,568,310,117,22,54,68,58,13,0
42,045,403200,2,"Block Group 2, Census Tract 4032, Delaware County, Pennsylvania",31,345,748,185,0,11,999,477,522,224,47,84,94,239,97,0,0
42,045,403401,2,"Block Group 2, Census Tract 4034.01, Delaware County, Pennsylvania",7,570,724,968,71,24,1869,919,950,358,56,223,120,253,44,0,0
42,045,404004,1,"Block Group 1, Census Tract 4040.04, Delaware County, Pennsylvania",39,474,1492,0,0,18,1510,806,704,387,14,189,147,288,51,0,7
42,045,410400,2,"Block Group 2, Census Tract 4104, Delaware County, Pennsylvania",116,1154,3876,43,0,419,4569,2186,2383,689,209,218,292,735,534,236,66
